Index,sentiment,binary_value,sentiment:confidence,text,tokens ,Column12
n28,5,1,0.5724,latest apple products leading in efficiency    iphone  ipad  plugloads,"[\'latest\', \'apple\', \'products\', \'leading\', \'in\', \'efficiency\', \'iphone\', \'ipad\', \'plugloads\'] ",
n29,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n30,3,1,0.7179,good be huge rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'good\', \'be\', \'huge\', \'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n31,3,1,1,  i cite the 4th amendment as a retort,"[\'i\', \'cite\', \'the\', \'4th\', \'amendment\', \'as\', \'a\', \'retort\'] ",
n32,3,1,0.6604,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n33,5,1,1,rt    thanks   thinking of upgrading ,"[\'rt\', \'thanks\', \'thinking\', \'of\', \'upgrading\'] ",
n34,3,1,0.6515,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n35,3,1,1,way to stay relevant rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'way\', \'to\', \'stay\', \'relevant\', \'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n36,3,1,1,apple inc  flash crash  what you need to know   aapl,"[\'apple\', \'inc\', \'flash\', \'crash\', \'what\', \'you\', \'need\', \'to\', \'know\', \'aapl\'] ",
n37,3,1,1,\nneed help on using your  apple  iphone6  amp   iphone6plus ?  checkitout\n  ,"[\'need\', \'help\', \'on\', \'using\', \'your\', \'apple\', \'iphone6\', \'amp\', \'iphone6plus\', \'checkitout\'] ",
n38,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n39,1,0,0.4673,that flash crash really screwed with a lot of traders today  not me  im more determined than ever to make trading work for me  aapl,"[\'that\', \'flash\', \'crash\', \'really\', \'screwed\', \'with\', \'a\', \'lot\', \'of\', \'traders\', \'today\', \'not\', \'me\', \'im\', \'more\', \'determined\', \'than\', \'ever\', \'to\', \'make\', \'trading\', \'work\', \'for\', \'me\', \'aapl\'] ",
n40,3,1,1,rt  the jh hines staff with their newly issued   connected macbook and ipad mini  txed   txed,"[\'rt\', \'the\', \'jh\', \'hines\', \'staff\', \'with\', \'their\', \'newly\', \'issued\', \'connected\', \'macbook\', \'and\', \'ipad\', \'mini\', \'txed\', \'txed\'] ",
n41,1,0,0.7453,nigga update yall headphones ,"[\'nigga\', \'update\', \'yall\', \'headphones\'] ",
n42,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n43,1,0,0.665,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n44,1,0,1,"ok,  you win  i wont use your browser anymore since it keeps closing on me  literally 8 times today  i counted ","[\'ok\', \'you\', \'win\', \'i\', \'wont\', \'use\', \'your\', \'browser\', \'anymore\', \'since\', \'it\', \'keeps\', \'closing\', \'on\', \'me\', \'literally\', \'8\', \'times\', \'today\', \'i\', \'counted\'] ",
n45,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n46,1,0,0.501,  i cite the us constitution where judges cannot pass laws! violation of the separation of powers,"[\'i\', \'cite\', \'the\', \'us\', \'constitution\', \'where\', \'judges\', \'cannot\', \'pass\', \'laws\', \'violation\', \'of\', \'the\', \'separation\', \'of\', \'powers\'] ",
n47,1,0,1, u need to get ur fucking shit together and let me txt while on youtube,"[\'u\', \'need\', \'to\', \'get\', \'ur\', \'fucking\', \'shit\', \'together\', \'and\', \'let\', \'me\', \'txt\', \'while\', \'on\', \'youtube\'] ",
n48,1,0,0.6672,  wish we could prosecute the admin for violation of privacy and criminal search and seizure,"[\'wish\', \'we\', \'could\', \'prosecute\', \'the\', \'admin\', \'for\', \'violation\', \'of\', \'privacy\', \'and\', \'criminal\', \'search\', \'and\', \'seizure\'] ",
n49,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n50,3,1,0.6868,  furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov ,"[\'furthermore\', \'there\', \'are\', \'no\', \'provisions\', \'for\', \'secrecy\', \'in\', \'the\', \'constitution\', \'as\', \'such\', \'such\', \'activities\', \'are\', \'sedition\', \'by\', \'the\', \'us\', \'gov\'] ",
n51,1,0,0.6656, aapl heres why apple dropped   ,"[\'aapl\', \'heres\', \'why\', \'apple\', \'dropped\'] ",
n52,3,1,0.7408,this one chart explains  affect on  paints an interesting story  what do you think? ,"[\'this\', \'one\', \'chart\', \'explains\', \'affect\', \'on\', \'paints\', \'an\', \'interesting\', \'story\', \'what\', \'do\', \'you\', \'think\'] ",
n53,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n54,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n55,3,1,0.732,"final  aapl  putcallratios for monday, december 1, 2014 ","[\'final\', \'aapl\', \'putcallratios\', \'for\', \'monday\', \'december\', \'1\', \'2014\'] ",
n56,3,1,0.7177, aapl launches red  apple logo for world aids day  dec  1 is world aids day and the red apple logo will be abl    ,"[\'aapl\', \'launches\', \'red\', \'apple\', \'logo\', \'for\', \'world\', \'aids\', \'day\', \'dec\', \'1\', \'is\', \'world\', \'aids\', \'day\', \'and\', \'the\', \'red\', \'apple\', \'logo\', \'will\', \'be\', \'abl\'] ",
n57,1,0,1,hey  fuck you,"[\'hey\', \'fuck\', \'you\'] ",
n58,3,1,0.6788,5 companies growing faster than apple inc    aapl,"[\'5\', \'companies\', \'growing\', \'faster\', \'than\', \'apple\', \'inc\', \'aapl\'] ",
n59,1,0,1, why doesnt your people explain precautions when buying an expensive laptop,"[\'why\', \'doesnt\', \'your\', \'people\', \'explain\', \'precautions\', \'when\', \'buying\', \'an\', \'expensive\', \'laptop\'] ",
n60,3,1,1,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n61,3,1,0.6731,  u was bored huh,"[\'u\', \'was\', \'bored\', \'huh\'] ",
n62,3,1,1,rt   you need an ip portfolio to defend against big companies   just look at   court battles,"[\'rt\', \'you\', \'need\', \'an\', \'ip\', \'portfolio\', \'to\', \'defend\', \'against\', \'big\', \'companies\', \'just\', \'look\', \'at\', \'court\', \'battles\'] ",
n63,1,0,1,"as a die hard  customer, i must say i am truly displeased with the customer service i was given today   badservice  apple","[\'as\', \'a\', \'die\', \'hard\', \'customer\', \'i\', \'must\', \'say\', \'i\', \'am\', \'truly\', \'displeased\', \'with\', \'the\', \'customer\', \'service\', \'i\', \'was\', \'given\', \'today\', \'badservice\', \'apple\'] ",
n64,1,0,1, made it clear today that i as a customer are not worth a measly  79!! an employee gave mis info and they will not stand behind it,"[\'made\', \'it\', \'clear\', \'today\', \'that\', \'i\', \'as\', \'a\', \'customer\', \'are\', \'not\', \'worth\', \'a\', \'measly\', \'79\', \'an\', \'employee\', \'gave\', \'mis\', \'info\', \'and\', \'they\', \'will\', \'not\', \'stand\', \'behind\', \'it\'] ",
n65,3,1,0.7011,inspi(red) by  and  on  worldaidsday  100  of  appsforred in  go to fight aids  get  and  ,"[\'inspi\', \'red\', \'by\', \'and\', \'on\', \'worldaidsday\', \'100\', \'of\', \'appsforred\', \'in\', \'go\', \'to\', \'fight\', \'aids\', \'get\', \'and\'] ",
n66,3,1,0.7321,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n67,3,1,1,16gb   ipad air 2 retina wifi tablet  400   free shipping via  ebay   cybermonday  firstworldproblems,"[\'16gb\', \'ipad\', \'air\', \'2\', \'retina\', \'wifi\', \'tablet\', \'400\', \'free\', \'shipping\', \'via\', \'ebay\', \'cybermonday\', \'firstworldproblems\'] ",
n68,5,1,0.8214,photo  love ios 8    love  ios8  nocrop  iphone  young  phone  screen  capturescream  boy    ,"[\'photo\', \'love\', \'ios\', \'8\', \'love\', \'ios8\', \'nocrop\', \'iphone\', \'young\', \'phone\', \'screen\', \'capturescream\', \'boy\'] ",
n69,1,0,1,why does  force people to use its vpn built in to ios8? off button doesnt work ffs  like i want apples nsa data collection service ,"[\'why\', \'does\', \'force\', \'people\', \'to\', \'use\', \'its\', \'vpn\', \'built\', \'in\', \'to\', \'ios8\', \'off\', \'button\', \'doesnt\', \'work\', \'ffs\', \'like\', \'i\', \'want\', \'apples\', \'nsa\', \'data\', \'collection\', \'service\'] ",
n70,1,0,0.6398,then how the hell did i take this screenshot?   ,"[\'then\', \'how\', \'the\', \'hell\', \'did\', \'i\', \'take\', \'this\', \'screenshot\'] ",
n71,3,1,1,rt  department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n72,3,1,0.6759,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n73,1,0,0.5327,buy round lot on the open mt   aapl stock briefly dove 6 4  today  analysts not sure why  ,"[\'buy\', \'round\', \'lot\', \'on\', \'the\', \'open\', \'mt\', \'aapl\', \'stock\', \'briefly\', \'dove\', \'6\', \'4\', \'today\', \'analysts\', \'not\', \'sure\', \'why\'] ",
n74,1,0,1,3g is draining my battery fix this ,"[\'3g\', \'is\', \'draining\', \'my\', \'battery\', \'fix\', \'this\'] ",
n76,1,0,1, your chargers suck ass! they just love to break!,"[\'your\', \'chargers\', \'suck\', \'ass\', \'they\', \'just\', \'love\', \'to\', \'break\'] ",
n77,3,1,0.6783,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n78,3,1,1," aapl my three horsemen of the nasdaq 100   apple, microsoft and gilead scie   ","[\'aapl\', \'my\', \'three\', \'horsemen\', \'of\', \'the\', \'nasdaq\', \'100\', \'apple\', \'microsoft\', \'and\', \'gilead\', \'scie\'] ",
n79,3,1,0.6604,rt  justice department cites 18th century federal law to get  to unlock iphones  ,"[\'rt\', \'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
n80,1,0,0.7556,im hoping  wont automatically make us download bruce springsteen and u2 singing together    u2  bruce  espn  thatwasbad,"[\'im\', \'hoping\', \'wont\', \'automatically\', \'make\', \'us\', \'download\', \'bruce\', \'springsteen\', \'and\', \'u2\', \'singing\', \'together\', \'u2\', \'bruce\', \'espn\', \'thatwasbad\'] ",
n81,1,0,0.4791,  what a joke! justice dept should prosecute killer wilson in pursuit of justice   ferguson is not over!,"[\'what\', \'a\', \'joke\', \'justice\', \'dept\', \'should\', \'prosecute\', \'killer\', \'wilson\', \'in\', \'pursuit\', \'of\', \'justice\', \'ferguson\', \'is\', \'not\', \'over\'] ",
n82,3,1,1,  please educate us,"[\'please\', \'educate\', \'us\'] ",
n83,1,0,0.7591,rt    wish we could prosecute the admin for violation of privacy and criminal search and seizure,"[\'rt\', \'wish\', \'we\', \'could\', \'prosecute\', \'the\', \'admin\', \'for\', \'violation\', \'of\', \'privacy\', \'and\', \'criminal\', \'search\', \'and\', \'seizure\'] ",
n84,3,1,0.6676,the game  traders play in the name of  market  liquidity  hft  darkpools  stock  trading  algorithms  aapl  ,"[\'the\', \'game\', \'traders\', \'play\', \'in\', \'the\', \'name\', \'of\', \'market\', \'liquidity\', \'hft\', \'darkpools\', \'stock\', \'trading\', \'algorithms\', \'aapl\'] ",
n85,3,1,1, aapl 10 steve jobs emails you need to read   ,"[\'aapl\', \'10\', \'steve\', \'jobs\', \'emails\', \'you\', \'need\', \'to\', \'read\'] ",
n86,1,0,1,so so sooooo annoyed  did the restore from my back up and lost my voice mails  i needed to keep those  thanks a lot ,"[\'so\', \'so\', \'sooooo\', \'annoyed\', \'did\', \'the\', \'restore\', \'from\', \'my\', \'back\', \'up\', \'and\', \'lost\', \'my\', \'voice\', \'mails\', \'i\', \'needed\', \'to\', \'keep\', \'those\', \'thanks\', \'a\', \'lot\'] ",
n87,1,0,0.7039,thisn yosemite update is stressing me out   macbookpro,"[\'thisn\', \'yosemite\', \'update\', \'is\', \'stressing\', \'me\', \'out\', \'macbookpro\'] ",
n88,1,0,1,just broke my 3rd charger of the month  get your shit together ,"[\'just\', \'broke\', \'my\', \'3rd\', \'charger\', \'of\', \'the\', \'month\', \'get\', \'your\', \'shit\', \'together\'] ",
n89,1,0,1,"this iphone 6 battery isnt as good as you claim, ","[\'this\', \'iphone\', \'6\', \'battery\', \'isnt\', \'as\', \'good\', \'as\', \'you\', \'claim\'] ",
n90,1,0,1, nasdaq big fall       fell 3 6  on monday! see whether follow up   ,"[\'nasdaq\', \'big\', \'fall\', \'fell\', \'3\', \'6\', \'on\', \'monday\', \'see\', \'whether\', \'follow\', \'up\'] ",
n91,3,1,1," iphone  users face big change over    apple s google search choice  ( monday, 1  december) ","[\'iphone\', \'users\', \'face\', \'big\', \'change\', \'over\', \'apple\', \'s\', \'google\', \'search\', \'choice\', \'monday\', \'1\', \'december\'] ",
n92,3,1,0.6908,rt    please educate us,"[\'rt\', \'please\', \'educate\', \'us\'] ",
n93,5,1,0.6517,"just updated my ram to 16gb   you guys are like shallow gfs  take all the money, but dammit you look good ","[\'just\', \'updated\', \'my\', \'ram\', \'to\', \'16gb\', \'you\', \'guys\', \'are\', \'like\', \'shallow\', \'gfs\', \'take\', \'all\', \'the\', \'money\', \'but\', \'dammit\', \'you\', \'look\', \'good\'] ",
n94,1,0,1,  oh its not fair and i think youre really mean,"[\'oh\', \'its\', \'not\', \'fair\', \'and\', \'i\', \'think\', \'youre\', \'really\', \'mean\'] ",
n95,3,1,0.6794, whoknew why isnt  on twitter?   interestingfact  passingthetime,"[\'whoknew\', \'why\', \'isnt\', \'on\', \'twitter\', \'interestingfact\', \'passingthetime\'] ",
n96,3,1,1,rt   whoknew why isnt  on twitter?   interestingfact  passingthetime,"[\'rt\', \'whoknew\', \'why\', \'isnt\', \'on\', \'twitter\', \'interestingfact\', \'passingthetime\'] ",
n97,5,1,0.7851,ibm   ios users account for 21 6  of all online sales  3x  users (6 6 )  they are dominating   business  sales  cybermonday,"[\'ibm\', \'ios\', \'users\', \'account\', \'for\', \'21\', \'6\', \'of\', \'all\', \'online\', \'sales\', \'3x\', \'users\', \'6\', \'6\', \'they\', \'are\', \'dominating\', \'business\', \'sales\', \'cybermonday\'] ",
n98,1,0,1,i hate how ios 8 capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together ,"[\'i\', \'hate\', \'how\', \'ios\', \'8\', \'capitalizes\', \'random\', \'words\', \'like\', \'i\', \'dont\', \'wanna\', \'give\', \'emphasis\', \'to\', \'some\', \'stupid\', \'word\', \'in\', \'tha\', \'sentence\', \'get\', \'ur\', \'self\', \'together\'] ",
n99,3,1,0.6218, ive made clear i support rand paul in 2016 in most cases  why is everyone pigeonholed as red or blue? also u like ,"[\'ive\', \'made\', \'clear\', \'i\', \'support\', \'rand\', \'paul\', \'in\', \'2016\', \'in\', \'most\', \'cases\', \'why\', \'is\', \'everyone\', \'pigeonholed\', \'as\', \'red\', \'or\', \'blue\', \'also\', \'u\', \'like\'] ",
n100,1,0,0.6884, why was the iphone 4 ever created,"[\'why\', \'was\', \'the\', \'iphone\', \'4\', \'ever\', \'created\'] ",
n101,1,0,1, i fucking hate you ,"[\'i\', \'fucking\', \'hate\', \'you\'] ",
n102,5,1,0.6573, please can i have new phone for christmas?  spreadsomejoy,"[\'please\', \'can\', \'i\', \'have\', \'new\', \'phone\', \'for\', \'christmas\', \'spreadsomejoy\'] ",
n103,3,1,0.7279,perfome  pie   ,"[\'perfome\', \'pie\'] ",
n104,3,1,0.6734, nasdaq100  recent  market  exit  4  sold  aapl long for a 10 49   gain in 20 days   aapl  forex  trading  stocks,"[\'nasdaq100\', \'recent\', \'market\', \'exit\', \'4\', \'sold\', \'aapl\', \'long\', \'for\', \'a\', \'10\', \'49\', \'gain\', \'in\', \'20\', \'days\', \'aapl\', \'forex\', \'trading\', \'stocks\'] ",
n105,3,1,0.6442,  rumoured to be launching a mega tab because  biggerisbetter ,"[\'rumoured\', \'to\', \'be\', \'launching\', \'a\', \'mega\', \'tab\', \'because\', \'biggerisbetter\'] ",
n107,3,1,0.6635,"apple inc  pt upped by barclays, morgan stanley trims stake   aapl","[\'apple\', \'inc\', \'pt\', \'upped\', \'by\', \'barclays\', \'morgan\', \'stanley\', \'trims\', \'stake\', \'aapl\'] ",
n108,1,0,1,its not like the app costs money just let me download it ,"[\'its\', \'not\', \'like\', \'the\', \'app\', \'costs\', \'money\', \'just\', \'let\', \'me\', \'download\', \'it\'] ",
n109,3,1,0.7287,"rt  new ha blog post  gt  gt  gt  final  aapl  putcallratios for monday, december 1, 2014   ","[\'rt\', \'new\', \'ha\', \'blog\', \'post\', \'gt\', \'gt\', \'gt\', \'final\', \'aapl\', \'putcallratios\', \'for\', \'monday\', \'december\', \'1\', \'2014\'] ",
n110,3,1,0.7079, aapl jim cramers 4 best stock picks for the health care sector   ,"[\'aapl\', \'jim\', \'cramers\', \'4\', \'best\', \'stock\', \'picks\', \'for\', \'the\', \'health\', \'care\', \'sector\'] ",
n111,1,0,1,my phones been charging for an hour but it keeps losing percentage?? get ur shit together ,"[\'my\', \'phones\', \'been\', \'charging\', \'for\', \'an\', \'hour\', \'but\', \'it\', \'keeps\', \'losing\', \'percentage\', \'get\', \'ur\', \'shit\', \'together\'] ",
n112,3,1,1,"steve jobs, clave en juicio contra   \n ","[\'steve\', \'jobs\', \'clave\', \'en\', \'juicio\', \'contra\'] ",
n113,3,1,1,"rt  steve jobs, clave en juicio contra   \n ","[\'rt\', \'steve\', \'jobs\', \'clave\', \'en\', \'juicio\', \'contra\'] ",
n114,3,1,1,"rt  steve jobs, clave en juicio contra   \n ","[\'rt\', \'steve\', \'jobs\', \'clave\', \'en\', \'juicio\', \'contra\'] ",
n116,3,1,0.6624,my laptop was completely dead and blacked out for 2 days  amp  i finally opened the inside and fixed it  hire me ,"[\'my\', \'laptop\', \'was\', \'completely\', \'dead\', \'and\', \'blacked\', \'out\', \'for\', \'2\', \'days\', \'amp\', \'i\', \'finally\', \'opened\', \'the\', \'inside\', \'and\', \'fixed\', \'it\', \'hire\', \'me\'] ",
n117,1,0,1,  we couldnt even get a turkey for tday so they just dont care     appleemojissuck,"[\'we\', \'couldnt\', \'even\', \'get\', \'a\', \'turkey\', \'for\', \'tday\', \'so\', \'they\', \'just\', \'dont\', \'care\', \'appleemojissuck\'] ",
n118,3,1,1,"rt  steve jobs, clave en juicio contra   \n ","[\'rt\', \'steve\', \'jobs\', \'clave\', \'en\', \'juicio\', \'contra\'] ",
n119,1,0,1,rt  my phones been charging for an hour but it keeps losing percentage?? get ur shit together ,"[\'rt\', \'my\', \'phones\', \'been\', \'charging\', \'for\', \'an\', \'hour\', \'but\', \'it\', \'keeps\', \'losing\', \'percentage\', \'get\', \'ur\', \'shit\', \'together\'] ",
